filename,scale_um_per_px,confirmed_total,macro_count,micro_count,surface_count,edge_count,reclassified_count,rejected_total,rejected_R1,rejected_R2,rejected_R3,rejected_R4,rejected_R5,rejected_R6,rejected_R7,pit_density_per_mm2,largest_pit_um2,largest_pit_type
CR3-1_1-side_pit_BF005.jpg,0.1546,0,0,0,0,0,0,101,93,0,2,1,7,0,0,0.0,0,
CR3-1_c-side_pit_BF001.jpg,0.1562,0,0,0,0,0,0,267,239,0,4,2,27,0,0,0.0,0,
CR3-7 c-side BF002.jpg,1.049,64,7,57,64,0,2,162,0,0,19,3,147,1,0,3.66,20281.0,reclass-surface
CR3-7_c-side_BF002.jpg,1.049,64,7,57,64,0,2,162,0,0,19,3,147,1,0,3.66,20281.0,reclass-surface
CR3-7_c-side_BF003.jpg,1.049,91,9,82,89,2,4,147,0,0,24,3,128,0,0,4.6,6415.0,surface
CR3-7_c-side_BF007.jpg,1.0274,35,7,28,35,0,5,89,0,0,1,0,88,0,0,3.33,296940.0,reclass-surface
CR3-7_c-side_BF009.jpg,1.4423,120,10,110,120,0,4,63,0,0,1,0,62,0,0,2.73,306053.0,reclass-surface
CR3-8_c-side_pit001.jpg,3.1088,712,69,643,708,4,0,102,0,1,8,1,95,0,0,4.64,29400.0,surface
CR3-8_c-side_pit002.jpg,3.1088,389,36,353,388,1,0,81,0,1,7,1,76,0,0,2.42,44003.0,surface
CR3-9_c-side_pit001.jpg,4.1379,237,60,177,234,3,9,60,0,2,6,3,53,0,0,2.62,182286.0,reclass-surface
